Name,Data and time,Latitude,Longitude
image369,28-04-20 07:47,-5.718,86.082
image370,28-04-20 07:48,-6.475,86.628
image371,28-04-20 07:48,-7.282,87.211
image372,28-04-20 07:48,-8.087,87.797
image373,28-04-20 07:48,-8.842,88.348
image374,28-04-20 07:49,-9.645,88.939
image375,28-04-20 07:49,-10.398,89.496
image376,28-04-20 07:49,-11.199,90.093
image377,28-04-20 07:49,-11.998,90.694
image378,28-04-20 07:50,-12.746,91.261
image379,28-04-20 07:50,-13.592,91.908
image380,28-04-20 07:50,-14.337,92.483
image381,28-04-20 07:50,-15.129,93.101
image382,28-04-20 07:51,-15.87,93.686
image383,28-04-20 07:51,-16.658,94.314
image384,28-04-20 07:51,-17.444,94.948
image385,28-04-20 07:52,-18.179,95.548
image386,28-04-20 07:52,-18.959,96.194
image387,28-04-20 07:52,-19.689,96.806
image388,28-04-20 07:52,-20.464,97.465
image389,28-04-20 07:53,-21.188,98.09
image390,28-04-20 07:53,-21.958,98.764
image391,28-04-20 07:53,-22.723,99.446
image392,28-04-20 07:53,-23.438,100.093
image393,28-04-20 07:54,-24.197,100.792
image394,28-04-20 07:54,-24.905,101.455
image395,28-04-20 07:54,-25.656,102.171
image396,28-04-20 07:54,-26.356,102.852
image397,28-04-20 07:55,-27.099,103.588
image398,28-04-20 07:55,-27.79,104.288
image399,28-04-20 07:55,-28.524,105.045
image400,28-04-20 07:55,-29.207,105.765
image401,28-04-20 07:56,-29.93,106.545
image402,28-04-20 07:56,-30.648,107.337
image403,28-04-20 07:56,-31.316,108.092
image404,28-04-20 07:56,-32.022,108.909
image405,28-04-20 07:57,-32.679,109.688
image406,28-04-20 07:57,-33.373,110.532
image407,28-04-20 07:57,-34.06,111.391
image408,28-04-20 07:57,-34.698,112.209
image409,28-04-20 07:58,-35.371,113.098
image410,28-04-20 07:58,-35.995,113.945
image411,28-04-20 07:58,-36.653,114.865
image412,28-04-20 07:59,-37.303,115.802
image413,28-04-20 07:59,-37.904,116.695
image414,28-04-20 07:59,-38.537,117.666
image415,28-04-20 07:59,-39.16,118.655
image416,28-04-20 08:00,-39.736,119.599
image417,28-04-20 08:00,-40.34,120.625
image418,28-04-20 08:00,-40.933,121.67
image419,28-04-20 08:00,-41.48,122.668
image420,28-04-20 08:01,-42.052,123.752
image421,28-04-20 08:01,-42.612,124.857
image422,28-04-20 08:01,-43.127,125.912
image423,28-04-20 08:01,-43.663,127.058
image424,28-04-20 08:02,-44.154,128.152
image425,28-04-20 08:02,-44.665,129.34
image426,28-04-20 08:02,-45.161,130.55
image427,28-04-20 08:02,-45.613,131.704
image428,28-04-20 08:03,-46.081,132.957
image429,28-04-20 08:03,-46.506,134.151
image430,28-04-20 08:03,-46.944,135.447
image431,28-04-20 08:03,-47.339,136.682
image432,28-04-20 08:04,-47.744,138.02
image433,28-04-20 08:04,-48.108,139.294
image434,28-04-20 08:04,-48.479,140.674
image435,28-04-20 08:05,-48.81,141.986
image436,28-04-20 08:05,-49.145,143.406
image437,28-04-20 08:05,-49.46,144.845
image438,28-04-20 08:05,-49.738,146.211
image439,28-04-20 08:06,-50.015,147.686
image440,28-04-20 08:06,-50.255,149.084
image441,28-04-20 08:06,-50.491,150.591
image442,28-04-20 08:06,-50.693,152.018
image443,28-04-20 08:07,-50.888,153.553
image444,28-04-20 08:07,-51.05,155.004
image445,28-04-20 08:07,-51.192,156.465
image446,28-04-20 08:07,-51.322,158.033
image447,28-04-20 08:08,-51.423,159.51
image448,28-04-20 08:08,-51.508,161.093
image449,28-04-20 08:08,-51.57,162.681
image450,28-04-20 08:08,-51.607,164.173
image451,28-04-20 08:09,-51.624,165.767
image452,28-04-20 08:09,-51.618,167.261
image453,28-04-20 08:09,-51.589,168.854
image454,28-04-20 08:09,-51.541,170.344
image455,28-04-20 08:10,-51.467,171.93
image456,28-04-20 08:10,-51.377,173.411
image457,28-04-20 08:10,-51.258,174.983
image458,28-04-20 08:10,-51.126,176.448
image459,28-04-20 08:11,-50.964,178.001
image460,28-04-20 08:11,-50.791,179.446
image461,28-04-20 08:11,-50.586,-179.026
image462,28-04-20 08:11,-50.374,-177.607
image463,28-04-20 08:12,-50.127,-176.108
image464,28-04-20 08:12,-49.876,-174.718
image465,28-04-20 08:12,-49.589,-173.252
image466,28-04-20 08:13,-49.302,-171.895
